title,description
"CHURRASCO SUPERFATURADO","FEZ UM CHURRASCO SUPERFATURADO COM VERBA PÚBLICA! JOGUE O DADO NOVAMENTE E AVANCE ENQUANTO SABOREIA A PICANHA."
"AUXÍLIO-MORADIA IMPROVISADO","VOCÊ CONSEGUIU APROVAR AUXÍLIO-MORADIA MESMO TENDO CASA PRÓPRIA! JOGUE NOVAMENTE."
"PASSAGENS PARA A FAMÍLIA","DESCOBRIU QUE AS PASSAGENS AÉREAS PODEM INCLUIR FAMÍLIA! JOGUE O DADO NOVAMENTE E AVANCE SEM MEDO DE REPRESÁLIAS."
"AUXÍLIO-PALETÓ SECRETO","VOCÊ CONSEGUIU AUMENTAR O AUXÍLIO PALETÓ SEM NINGUÉM PERCEBER! JOGUE O DADO NOVAMENTE E AVANCE COM ESTILO."
"ESQUECIMENTO SALVADOR","CAIU NO ESQUECIMENTO O PROJETO DE CASSAÇÃO DO SEU MANDATO! ESCOLHA UM DEPUTADO PARA TROCAR DE POSIÇÃO COM VOCÊ E RESPIRE ALIVIADO."
"GASTOS OFICIAIS APROVADOS","SEUS GASTOS PESSOAIS FORAM APROVADOS COMO DESPESAS OFICIAIS! TROQUE DE LUGAR COM QUALQUER DEPUTADO NO TABULEIRO."
"FUNDÃO ELEITORAL NA CONTA","A VERBA DO 'FUNDÃO' ELEITORAL CAIU NA SUA CONTA! TROQUE DE POSIÇÃO COM QUALQUER DEPUTADO E SORRIA PARA OS FLASHES."
"DIÁRIAS DE HOTEL EXTRA","VOCÊ CONSEGUIU DIÁRIAS EXTRAS DE HOTEL PARA 'TRABALHO EXTERNO'! TROQUE DE LUGAR COM ALGUÉM E JOGUE O DADO NOVAMENTE."
"PONTE DO NADA","CONSEGUIU VERBA PARA UMA PONTE QUE VAI DO NADA A LUGAR NENHUM! JOGUE 3 DADOS E ESCOLHA UM DELES PARA AVANÇAR."
"AUMENTO SALARIAL FELIZ","TEVE AUMENTO NO SALÁRIO DE DEPUTADO E VOCÊ ESTÁ SORRINDO A TOA! JOGUE 3 DADOS E ESCOLHA UM DELES PARA AVANÇAR."
"CAFEZINHO NO ORÇAMENTO","VOCÊ COLOCOU OS CUSTOS﻿ DO 'CAFEZINHO' NO ORÇAMENTO PÚBLICO! BLOQUEIE O XANDÃO POR 1 RODADA ENQUANTO APROVEITA A MORDOMIA."
"REUNIÃO EM PARIS","FOI PARA UMA REUNIÃO EM PARIS COM TUDO PAGO PELA CÂMARA! ESCOLHA TROCAR DE POSIÇÃO COM O XANDÃO OU CONTINUE NORMALMENTE."
"VIAGEM AO CATAR","VIAJOU PARA O CATAR COM TUDO PAGO PARA O 'TRABALHO INSTITUCIONAL'! AVANCE PARA UMA CASA ADJACENTE AO TRONO."
"ALIADO LIVRE COM JEITINHO","COM UM 'JEITINHO', VOCÊ LIVROU UM ALIADO DA CADEIA! TIRE UM DEPUTADO DA PRISÃO E MOVA-O PARA SUA CASA INICIAL."
"OBRA INACABADA PREMIADA","VOCÊ RECEBEU UMA PREMIAÇÃO POR UMA OBRA QUE NEM EXISTE! JOGUE 3 DADOS E ESCOLHA O RESULTADO DESEJADO PARA AVANÇAR."
"ORÇAMENTO SECRETO LIBERADO","CONSEGUIU LIBERAR MILHÕES EM ORÇAMENTO SECRETO! JOGUE 3 DADOS E ESCOLHA UM PARA AVANÇAR COM DISCRIÇÃO."
"CONGRESSO BLOQUEADO","VOCÊ CONSEGUIU BLOQUEAR UMA DECISÃO DO XANDÃO NO CONGRESSO! BLOQUEIE O XANDÃO POR 1 RODADA."
"APROVAÇÃO RELÂMPAGO","VOCÊ CONSEGUIU APROVAR UM PROJETO SEM NINGUÉM NOTAR! BLOQUEIE O XANDÃO POR 1 RODADA E RESPIRA FUNDO."
"TROCA DE CARGOS","VOCÊ TROCOU CARGOS IMPORTANTES EM UMA MANOBRA POLÍTICA! ESCOLHA TROCAR DE LUGAR COM O XANDÃO OU SIGA NORMALMENTE."
"CONVITE VIP EM DUBAI","FOI PARA UM EVENTO VIP EM DUBAI COM TUDO PAGO! ESCOLHA SE TROCA DE LUGAR COM O XANDÃO OU PERMANECE NA SUA POSIÇÃO."
"MINISTÉRIO PARTICULAR","VOCÊ CONSEGUIU UMA PASTA MINISTERIAL SÓ PRA VOCÊ! TROQUE DE LUGAR COM QUALQUER DEPUTADO OU SIGA AVANÇANDO NORMALMENTE."
"VOTAÇÃO NOTURNA APROVADA","APROVOU UMA LEI NA CALADA DA NOITE! TROQUE DE LUGAR COM QUALQUER DEPUTADO E AVANCE DE FORMA SILENCIOSA."
"GRANA PARA O LOBBY","O LOBBY TRABALHOU DURO PARA VOCÊ! IGNORE O EFEITO DA PRÓXIMA CARTA VERMELHA E SIGA TRANQUILO."
"CPI DESVIADA","VOCÊ CONSEGUIU DESVIAR O FOCO DA CPI! IGNORE O EFEITO DA PRÓXIMA CARTA VERMELHA E SAIA ILESO."
"JANTAR COM LÍDERES","DEPOIS DE UM JANTAR COM OS LÍDERES, TUDO FOI RESOLVIDO! MUDE PARA A CASA QUE CORRESPONDE AO NÚMERO DO SEU DADO."
"PRESENTE INSTITUCIONAL","VOCÊ RECEBEU UM PRESENTE CARÍSSIMO 'OFICIALMENTE'. AVANCE PARA UMA CASA CORRESPONDENTE AO DADO QUE ACABOU DE ROLAR."
"CARAVANA PARA INAUGURAÇÃO","VOCÊ FOI INAUGURAR UMA OBRA EM OUTRA CIDADE. MUDE PARA UMA CASA ADJACENTE DA SUA ESCOLHA."
"REFORMA NO GABINETE","VOCÊ REFORMOU SEU GABINETE COM O DINHEIRO DA CÂMARA! MUDE PARA UMA CASA ADJACENTE QUE LHE FAVOREÇA."
"HOMENAGEM DA CÂMARA","VOCÊ RECEBEU UMA HOMENAGEM INESPERADA! ESCOLHA UMA CASA ADJACENTE NO RAIO DE DUAS POSIÇÕES E AVANCE COM HONRA."
"ENCONTRO COM ELEITORES","VOCÊ FOI ENCONTRAR ELEITORES EM UMA CASA PRÓXIMA. MUDE PARA UMA CASA ADJACENTE DE OUTRO JOGADOR."
"RÁDIO E TV CUSTEADOS","VOCÊ CONSEGUIU HORÁRIO NOBRE NA TV PÚBLICA! MUDE PARA UMA CASA ADJACENTE OCUPADA POR OUTRO JOGADOR."
"CARGA DE IMUNIDADE","VOCÊ CONSEGUIU IMUNIDADE POR ALGUNS DIAS! VOCÊ NÃO PODE SER PRESO NA PRÓXIMA RODADA."
"PACOTE DE IMUNIDADE COLETIVA","VOCÊ CONSEGUIU IMUNIDADE TEMPORÁRIA PARA TODOS! NENHUM DEPUTADO PODE SER PRESO NA PRÓXIMA RODADA."
"REFORÇO EM COMITIVA","VOCÊ VIAJOU EM COMITIVA PARA 'INSPEÇÃO'. MOVA O XANDÃO DE VOLTA PARA SUA CASA INICIAL."
"PLANO INFALÍVEL","VOCÊ TIROU O XANDÃO DO CAMINHO! MOVA O XANDÃO DE VOLTA PARA SUA CASA INICIAL E APROVEITE A CHANCE."
"APADRINHAMENTO DE OURO","VOCÊ CONSEGUIU UM APADRINHAMENTO IMPORTANTE! ESCOLHA SE TROCA DE LUGAR COM O XANDÃO OU SIGA NORMALMENTE."
"RELATÓRIO FAVORÁVEL","O RELATÓRIO DA CPI TE FOI FAVORÁVEL POR ALGUM MILAGRE! IGNORE O EFEITO DA PRÓXIMA CARTA VERMELHA."
"RÁPIDO DESPACHO","A BUROCRACIA TRABALHOU A SEU FAVOR! MOVA-SE PARA A CASA CORRESPONDENTE AO NÚMERO DO DADO QUE VOCÊ ACABOU DE ROLAR."
"VERBA EXTRA PARA A BASE","VOCÊ CONSEGUIU UMA VERBA EXTRA PARA SUA BASE ELEITORAL! MOVA-SE PARA A CASA CORRESPONDENTE AO NÚMERO QUE ACABOU DE TIRAR NO DADO."
"NOTA FISCAL INFLADA","VOCÊ APRESENTOU UMA NOTA FISCAL 'CRÍVEL'! MOVA-SE PARA UMA CASA ADJACENTE DA SUA ESCOLHA."
"MAIS UMA JETON","RECEBEU MAIS UM JETON POR PARTICIPAR DE UMA REUNIÃO QUE NÃO EXISTIU! MOVA-SE PARA UMA CASA ADJACENTE QUE LHE CONVENHA."
"VISITA À BASE ELEITORAL","UMA VISITA À BASE TE FEZ GANHAR POPULARIDADE! MUDE PARA UMA CASA A SUA ESCOLHA NO RAIO DE DUAS CASAS ADJACENTES."
"CONCHAVO ESTRATÉGICO","FEZ UM CONCHAVO POLÍTICO QUE TE DEU VANTAGEM! ESCOLHA UMA CASA NO RAIO DE DUAS POSIÇÕES E SE DESLOQUE DISCRETAMENTE."
"ARTICULAÇÃO ESPERTA","UMA ARTICULAÇÃO TE COLOCOU NO CAMINHO CERTO! MUDE PARA A CASA ADJACENTE DE OUTRO JOGADOR E APROVEITE A OPORTUNIDADE."
"CAFÉ COM O PRESIDENTE","VOCÊ TOMOU UM CAFÉ COM O PRESIDENTE DA CASA! MOVA-SE PARA A CASA ADJACENTE DE OUTRO JOGADOR QUE TE INTERESSE."
"IMUNIDADE MOMENTÂNEA","VOCÊ CONSEGUIU UMA BLINDAGEM TEMPORÁRIA! NÃO PODE SER PRESO NA PRÓXIMA RODADA."
"ACORDÃO DE SALVAÇÃO","O ACORDÃO FOI FECHADO! NENHUM DEPUTADO PODE SER PRESO NA PRÓXIMA RODADA."
"PLANTIO DE ÁRVORES NA MÍDIA","VOCÊ APARECEU PLANTANDO ÁRVORES EM UM PROJETO ECOLÓGICO! MUDE-SE PARA UMA CASA VERDE ADJACENTE, SE HOUVER."
"LICITAÇÃO SUSTENTÁVEL","VOCÊ FEZ UMA LICITAÇÃO COM FOCO EM SUSTENTABILIDADE! MOVA-SE PARA UMA CASA VERDE ADJACENTE E GANHE A APROVAÇÃO POPULAR."
"EMENDA VERDE APROVADA","VOCÊ APROVOU UMA EMENDA QUE AJUDA O MEIO AMBIENTE (E A SUA IMAGEM)! MOVA-SE PARA UMA CASA VERDE ADJACENTE, SE DISPONÍVEL."
"PARECER FAVORÁVEL RELÂMPAGO","SEU PROJETO FOI APROVADO EM TEMPO RECORDE! JOGUE O DADO NOVAMENTE E AVANCE COMO SE NADA TIVESSE ACONTECIDO."
